㋿ ㄌㄧㄥˋ-ㄏㄜˊ
(ﾉ-ﾛ-)ﾉｼ ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(╯¯(ｪ)¯)╯ ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
ﾉ(¯(ｪ)¯ﾉ) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
ﾉ`∀ˊ)∀ﾟ)ﾉｼ ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(ﾉ‧ω‧)ﾉｼ ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
ﾉ(ΘДΘﾉ) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
ﾉ(￮°▽°￮ﾉ) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
︵\(◕ω◕\) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(╯°Д°)╯ ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(╯°O°)╯ ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(╯'-')╯ ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(*≥▽≤)ﾂ ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
╚|░☀▄☀░|╝ ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
[^·ω ·^ *]ﾉﾉ ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
#===========
#_EMOJI_詞組
乆乆乆 ㄧˊ-ㄉㄧㄥˋ-ㄕˋ
乆乆乆 ㄧ-ㄉㄧㄥˋ-ㄕˋ
🐴👁 ㄇㄚˇ-ㄧㄢˇ
🐂🍺 ㄋㄧㄡˊ-ㄅㄧ
🐃🍺 ㄋㄧㄡˊ-ㄅㄧ
🐄🍺 ㄋㄧㄡˊ-ㄅㄧ
🐡 ㄏㄜˊ-ㄊㄨㄣˊ
🐨 ㄨˊ-ㄨㄟˇ-ㄒㄩㄥˊ
🐮🍺 ㄋㄧㄡˊ-ㄅㄧ
🦏🍺 ㄋㄧㄡˊ-ㄅㄧ
🐦🍜🐮🍺 ㄑㄩㄝˋ-ㄕˊ-ㄋㄧㄡˊ-ㄅㄧ
🐹🍜🐮🍺 ㄕㄨˇ-ㄕˊ-ㄋㄧㄡˊ-ㄅㄧ
🐭🍜🐮🍺 ㄕㄨˇ-ㄕˊ-ㄋㄧㄡˊ-ㄅㄧ
🐀🍜🐂🍺 ㄕㄨˇ-ㄕˊ-ㄋㄧㄡˊ-ㄅㄧ
🐀🍜🐃🍺 ㄕㄨˇ-ㄕˊ-ㄋㄧㄡˊ-ㄅㄧ
🐀🍜🐄🍺 ㄕㄨˇ-ㄕˊ-ㄋㄧㄡˊ-ㄅㄧ
🐀🍜🦏🍺 ㄕㄨˇ-ㄕˊ-ㄋㄧㄡˊ-ㄅㄧ
🐶🐝 ㄍㄡˇ-ㄅㄧ
🦮🐝 ㄍㄡˇ-ㄅㄧ
🐕🐝 ㄍㄡˇ-ㄅㄧ
🐩🐝 ㄍㄡˇ-ㄅㄧ
🐕‍🦺🐝 ㄍㄡˇ-ㄅㄧ
🐖🐝 ㄓㄨ-ㄅㄧ
🐷🐝 ㄓㄨ-ㄅㄧ
🐽🐝 ㄓㄨ-ㄅㄧ
🌳🆕🐝 ㄕㄨˋ-ㄒㄧㄣ-ㄈㄥ
🌳🆕🐝 ㄔㄨㄟ-ㄋㄧㄡˊ-ㄅㄧ
🦀🦀 ㄒㄧㄝˋ-ㄒㄧㄝˋ
🦀🦀🍆 ㄒㄧㄝˋ-ㄒㄧㄝˋ-ㄑㄧㄝˊ-ㄗ˙
🙏🍆 ㄒㄧㄝˋ-ㄒㄧㄝˋ-ㄑㄧㄝˊ-ㄗ˙
#===============
#_EMOJI_單字讀音
1️⃣ ㄧ
2️⃣ ㄦˋ
3️⃣ ㄙㄢ
4️⃣ ㄙˋ
5️⃣ ㄨˇ
6️⃣ ㄌㄧㄡˋ
7️⃣ ㄑㄧ
8️⃣ ㄅㄚ
9️⃣ ㄐㄧㄡˇ
🔟 ㄕˊ
⬆️ ㄕㄤˋ
⬇️ ㄒㄧㄚˋ
⬅️ ㄗㄨㄛˇ
➡️ ㄧㄡˋ
🏃🏾‍♀️ ㄆㄠˇ
🏃 ㄆㄠˇ
🏃‍♂️ ㄆㄠˇ
⌚️ ㄕㄡˇ-ㄅㄧㄠˇ
⌛️ ㄕㄚ-ㄌㄡˋ
⌨️ ㄐㄧㄢˋ-ㄆㄢˊ
⏰ ㄋㄠˋ-ㄓㄨㄥ
⏱ ㄇㄚˇ-ㄅㄧㄠˇ
⏲ ㄕˊ-ㄓㄨㄥ
⏳ ㄕㄚ-ㄌㄡˋ
☀️ ㄊㄞˋ-ㄧㄤˊ
☀️ ㄖˋ
☂️ ㄙㄢˇ
☎️ ㄉㄧㄢˋ-ㄏㄨㄚˋ
☔️ ㄩˇ
☕️ ㄔㄚˊ-ㄅㄟ
☘️ ㄧㄝˋ
☺️ ㄒㄧㄠˋ
⚔️ ㄐㄧㄢˋ
